Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
111,x9/21/2020,31.76671252,-109.4071776,f3e8b7f0-ab19-4a7c-9931-333088fdf104,North Pasture,03-05-01-00115-151-C01,From Site Notes,0ec19c74-08a3-4d0b-95fb-ce2e9faff365,5580
112,x9/21/2020,31.76514791,-109.4213421,f3e8b7f0-ab19-4a7c-9931-333088fdf104,North Pasture,03-05-01-00115-151-C02,From Site Notes,279a86b9-014c-422a-a140-453b1ef3fea6,5387
113,x10/16/2020,32.72314508,-110.0906873,36da1a5b-1500-4cb7-bf85-33de4667d7a5,Seventy Six Pasture,03-05-04-00412-12A-K01,From Shapefile,7366eabd-dea9-40d1-839d-7904ec1c8d37,
114,x10/16/2020,32.67613633,-109.9933195,36da1a5b-1500-4cb7-bf85-33de4667d7a5,Seventy Six Pasture,03-05-04-00412-12A-K02,From Shapefile,7ddd19af-89ee-470f-9f02-0fb1a665389c,
115,x10/16/2020,32.69421665,-110.0709577,36da1a5b-1500-4cb7-bf85-33de4667d7a5,Seventy Six Pasture,03-05-04-00412-12A-K03,From Shapefile,bbeeaeff-6965-424d-af62-9ddda6795ccb,
116,x9/20/2011,32.67108218,-110.4431618,efacf4a0-f98f-4160-b497-3450fe2ed0f4,Sombrero Butte Pasture,03-05-04-00443-43A-K01,,1d43a8a7-ecd6-4637-a090-bf2c501fa729,
117,x9/14/2020,31.58563769,-109.4156935,6bbc8487-f63b-4b44-a15a-34b48735c884,Hunsaker Pasture,03-05-01-00124-244-C01,From Shapefile,98df8224-2ca0-4b4a-bbde-8ddb28081eb2,
118,x10/18/2020,31.48519546,-110.5832266,a9393784-c038-4d75-b4fc-35a80caf8c34,Headquarters Pasture,03-05-03-00338-007-C02,From Shapefile,42a5b335-a2e6-46b7-a551-f87dbe4cbd60,
119,x10/17/2020,32.45898625,-110.690015,f7cb6188-1c24-4a50-a963-37cfed9b9922,Upper Alder Pasture,03-05-05-00507-002-C03,From Shapefile,be0ee6a1-45cc-4367-831a-6551c36b0888,
120,x10/18/2010,31.37419633,-110.7570127,b2caae6f-715d-4435-8448-37e64c19a5da,Lower Alisos Pasture,03-05-03-00353-006-C03,,2aaf7fd3-a79f-4709-8d0b-92f68fa511bf,4700
121,x10/13/2009,31.86507039,-109.9213592,192c3e83-9b72-45d0-983e-37ee66f7e84a,Black Diamond Pasture,03-05-01-00158-587-C01,Transect Start,c09c0664-2ce0-4267-86f6-ab5d51dc62f7,5150
122,x9/22/2020,31.66366779,-110.7406609,d2d3d16c-9c27-4a36-bb24-3901945a1ba1,Pilar Pasture,03-05-02-00247-001-C01A,2015 Site,c2664576-ed7d-4541-a55f-6a14654d9c68,
123,x9/28/2011,31.44281181,-111.4014315,27383cd0-52b4-453a-99c8-3b98b56e8c81,Lower Fresnal Pasture,03-05-02-00203-002-C02,,880c22ff-715a-413f-9593-9493cbbcd830,3912
124,x10/17/2020,31.85957163,-110.3598725,fc9ee0fe-0072-4fc1-997b-3c21813bdd06,Rickett Pasture,03-05-03-00306-005-C03,,9d856836-009d-40ec-8b28-e0b4eee4cbc7,
125,x9/19/2020,31.64485231,-109.3350779,8ec874a8-d6b5-474f-ac7a-3e063b10f41a,Doane Pasture,03-05-01-00123-232-C04,From Shapefile,71970615-c842-44c6-93bd-5b39142a5d09,
126,x9/14/2020,31.57717504,-109.4141508,6eb65108-2801-4d15-a369-3e08f4463e06,Big East Pasture,03-05-01-00124-242-C02,From Site Notes,43ed1f8a-6a40-4393-a7b3-887903573475,5013
